time,CH1
-0.3946,0.27
-0.39449999999999996,0.23
-0.3944,0.18
-0.3943,0.16
-0.3942,0.14
-0.3941,0.1
-0.394,0.1
-0.39390000000000003,0.08
-0.3938,0.07
-0.3937,0.06
-0.3936,0.08
-0.39349999999999996,0.16
-0.39339999999999997,0.2
-0.3933,0.25
-0.3932,0.28
-0.3931,0.32
-0.393,0.34
-0.3929,0.36
-0.3928,0.37
-0.3927,0.39
-0.3926,0.38
-0.3925,0.39
-0.39239999999999997,0.41000000000000003
-0.3923,0.41000000000000003
-0.3922,0.39
-0.3921,0.42
-0.392,0.41000000000000003
-0.3919,0.41000000000000003
-0.3918,0.42
-0.3917,0.44
-0.3916,0.55
-0.3915,0.87
-0.39139999999999997,1.12
-0.3913,1.3
-0.3912,1.46
-0.3911,1.6
-0.391,1.71
-0.3909,1.79
-0.3908,1.86
-0.3907,1.92
-0.3906,1.96
-0.3905,2.0
-0.39039999999999997,2.02
-0.3903,2.05
-0.3902,2.08
-0.3901,2.08
-0.39,2.1
-0.3899,2.11
-0.3898,2.14
-0.3897,2.13
-0.3896,2.08
-0.3895,1.9000000000000001
-0.38939999999999997,1.74
-0.3893,1.6300000000000001
-0.3892,1.54
-0.3891,1.47
-0.389,1.42
-0.3889,1.37
-0.3888,1.32
-0.3887,1.29
-0.3886,1.27
-0.3885,1.24
-0.38839999999999997,1.22
-0.3883,1.22
-0.3882,1.2
-0.3881,1.2
-0.388,1.18
-0.3879,1.18
-0.3878,1.16
-0.3877,1.18
-0.3876,1.23
-0.3875,1.57
-0.38739999999999997,1.82
-0.3873,2.0300000000000002
-0.3872,2.2
-0.3871,2.32
-0.387,2.42
-0.3869,2.5
-0.3868,2.58
-0.3867,2.62
-0.3866,2.67
-0.3865,2.7
-0.38639999999999997,2.7600000000000002
-0.3863,2.77
-0.3862,2.8000000000000003
-0.3861,2.8000000000000003
-0.386,2.82
-0.3859,2.83
-0.3858,2.85
-0.3857,2.86
-0.3856,2.82
-0.3855,2.42
-0.38539999999999996,2.11
-0.3853,1.87
-0.3852,1.68
-0.3851,1.54
-0.385,1.4000000000000001
-0.3849,1.29
-0.3848,1.23
-0.3847,1.1400000000000001
-0.3846,1.1
-0.3845,1.04
-0.38439999999999996,1.02
-0.3843,0.97
-0.3842,0.9500000000000001
-0.3841,0.92
-0.384,0.92
-0.3839,0.89
-0.3838,0.89
-0.3837,0.87
-0.3836,0.91
-0.3835,1.23
-0.38339999999999996,1.44
-0.3833,1.6300000000000001
-0.3832,1.79
-0.3831,1.8900000000000001
-0.383,2.0
-0.3829,2.07
-0.3828,2.15
-0.3827,2.19
-0.3826,2.25
-0.3825,2.2800000000000002
-0.38239999999999996,2.3000000000000003
-0.3823,2.34
-0.3822,2.34
-0.3821,2.34
-0.382,2.36
-0.3819,2.39
-0.38180000000000003,2.37
-0.3817,2.39
-0.3816,2.41
-0.3815,2.34
-0.38139999999999996,2.27
-0.3813,2.25
-0.3812,2.21
-0.3811,2.17
-0.381,2.17
-0.3809,2.14
-0.3808,2.14
-0.3807,2.12
-0.3806,2.12
-0.3805,2.11
-0.38039999999999996,2.09
-0.38029999999999997,2.1
-0.3802,2.09
-0.3801,2.06
-0.38,2.08
-0.3799,2.07
-0.3798,2.07
-0.3797,2.08
-0.3796,2.08
-0.3795,2.2600000000000002
-0.3794,2.4
-0.37929999999999997,2.5300000000000002
-0.3792,2.62
-0.3791,2.69
-0.379,2.7600000000000002
-0.3789,2.82
-0.3788,2.86
-0.3787,2.89
-0.3786,2.91
-0.3785,2.94
-0.3784,2.95
-0.37829999999999997,2.96
-0.3782,2.98
-0.3781,2.97
-0.378,2.99
-0.3779,3.0
-0.3778,3.0100000000000002
-0.3777,3.02
-0.3776,3.02
-0.3775,2.97
-0.3774,2.92
-0.37729999999999997,2.86
-0.3772,2.85
-0.3771,2.82
-0.377,2.81
-0.3769,2.79
-0.3768,2.7800000000000002
-0.3767,2.77
-0.3766,2.77
-0.3765,2.7600000000000002
-0.3764,2.7600000000000002
-0.37629999999999997,2.74
-0.3762,2.72
-0.3761,2.7600000000000002
-0.376,2.73
-0.3759,2.75
-0.3758,2.73
-0.3757,2.7
-0.3756,2.72
-0.3755,2.5100000000000002
-0.3754,2.35
-0.37529999999999997,2.2
-0.3752,2.09
-0.3751,1.98
-0.375,1.9100000000000001
-0.3749,1.86
-0.3748,1.81
-0.37470000000000003,1.74
-0.3746,1.74
-0.3745,1.7
-0.37439999999999996,1.68
-0.37429999999999997,1.68
-0.3742,1.6400000000000001
-0.3741,1.6300000000000001
-0.374,1.62
-0.3739,1.62
-0.3738,1.61
-0.37370000000000003,1.61
-0.3736,1.59
-0.3735,1.68
