CH1,CH3,CH4,Ts
-1.620000000e+2,3.780781250e+1,-1.256348125e+1,
-1.570156250e+2,3.740000000e+1,-1.238480000e+1,
-1.590000000e+2,3.780000000e+1,-1.229298750e+1,
-1.590156250e+2,3.759531250e+1,-1.230005000e+1,
-1.599765625e+2,3.760156250e+1,-1.265741250e+1,
-1.549843750e+2,3.760000000e+1,-1.247166875e+1,
-1.580390625e+2,3.800468750e+1,-1.229298750e+1,
-1.590000000e+2,3.841093750e+1,-1.211289375e+1,
-1.590156250e+2,3.780312500e+1,-1.229369375e+1,
-1.560000000e+2,3.779843750e+1,-1.229440000e+1,
-1.589453125e+2,3.760156250e+1,-1.238480000e+1,
-1.600390625e+2,3.840000000e+1,-1.229581250e+1,
-1.569921875e+2,3.760000000e+1,-1.238480000e+1,
-1.600234375e+2,3.800781250e+1,-1.256560000e+1,
-1.570390625e+2,3.661093750e+1,-1.238762500e+1,
-1.630468750e+2,3.760312500e+1,-1.229510625e+1,
-1.599765625e+2,3.759531250e+1,-1.247520000e+1,
-1.599843750e+2,3.740000000e+1,-1.238480000e+1,
-1.580312500e+2,3.740156250e+1,-1.247590625e+1,
-1.610000000e+2,3.800000000e+1,-1.238550625e+1,
-1.569687500e+2,3.760312500e+1,-1.229510625e+1,
-1.569765625e+2,3.780000000e+1,-1.238621250e+1,
-1.589687500e+2,3.739687500e+1,-1.256560000e+1,
-1.600234375e+2,3.760781250e+1,-1.247520000e+1,
-1.580156250e+2,3.799531250e+1,-1.229369375e+1,
-1.589609375e+2,3.699375000e+1,-1.229440000e+1,
-1.600625000e+2,3.739687500e+1,-1.229440000e+1,
-1.549687500e+2,3.740156250e+1,-1.238550625e+1,
-1.580546875e+2,3.760156250e+1,-1.247520000e+1,
-1.609921875e+2,3.779843750e+1,-1.229440000e+1,
-1.589843750e+2,3.760000000e+1,-1.247590625e+1,
-1.600078125e+2,3.759687500e+1,-1.247449375e+1,
-1.600000000e+2,3.740000000e+1,-1.220400000e+1,
-1.560078125e+2,3.780312500e+1,-1.211360000e+1,
-1.610234375e+2,3.720000000e+1,-1.220541250e+1,
-1.599921875e+2,3.760000000e+1,-1.238338750e+1,
-1.630078125e+2,3.779687500e+1,-1.256560000e+1,
-1.589843750e+2,3.819843750e+1,-1.238480000e+1,
-1.590000000e+2,3.738593750e+1,-1.247520000e+1,
-1.600000000e+2,3.719062500e+1,-1.247731875e+1,
-1.599921875e+2,3.820156250e+1,-1.229228125e+1,
-1.600000000e+2,3.739218750e+1,-1.247520000e+1,
-1.570000000e+2,3.760312500e+1,-1.229510625e+1,
-1.580234375e+2,3.739531250e+1,-1.266023750e+1,
-1.580000000e+2,3.742031250e+1,-1.247166875e+1,
-1.580078125e+2,3.799531250e+1,-1.229440000e+1,
-1.580000000e+2,3.719843750e+1,-1.256560000e+1,
-1.570000000e+2,3.820625000e+1,-1.229440000e+1,
-1.610000000e+2,3.780312500e+1,-1.265529375e+1,
-1.600000000e+2,3.740000000e+1,-1.247237500e+1,
-1.610000000e+2,3.720781250e+1,-1.238480000e+1,
-1.600078125e+2,3.820000000e+1,-1.247449375e+1,
-1.600234375e+2,3.740156250e+1,-1.256560000e+1,
-1.579921875e+2,3.799218750e+1,-1.229510625e+1,
-1.610312500e+2,3.740156250e+1,-1.247378750e+1,
-1.599921875e+2,3.740000000e+1,-1.265600000e+1,
-1.599765625e+2,3.740468750e+1,-1.238409375e+1,
-1.569921875e+2,3.759375000e+1,-1.247520000e+1,
-1.590234375e+2,3.680000000e+1,-1.247520000e+1,
-1.579765625e+2,3.759687500e+1,-1.238550625e+1,
-1.579609375e+2,3.759843750e+1,-1.238480000e+1,
-1.609687500e+2,3.779843750e+1,-1.238480000e+1,
-1.600156250e+2,3.779531250e+1,-1.238409375e+1,
-1.580078125e+2,3.760781250e+1,-1.229440000e+1,
-1.560234375e+2,3.819843750e+1,-1.238480000e+1,
-1.549687500e+2,3.719687500e+1,-1.211360000e+1,
-1.589531250e+2,3.759218750e+1,-1.229369375e+1,
-1.579687500e+2,3.760000000e+1,-1.220400000e+1,
-1.580390625e+2,3.780000000e+1,-1.238480000e+1,
-1.600000000e+2,3.799218750e+1,-1.229510625e+1,
-1.579921875e+2,3.719843750e+1,-1.256560000e+1,
-1.590000000e+2,3.760000000e+1,-1.229228125e+1,
-1.580078125e+2,3.779843750e+1,-1.229440000e+1,
-1.600000000e+2,3.740156250e+1,-1.229651875e+1,
-1.600078125e+2,3.779531250e+1,-1.211360000e+1,
-1.600000000e+2,3.800000000e+1,-1.229440000e+1,
-1.560000000e+2,3.779687500e+1,-1.247308125e+1,
-1.600234375e+2,3.740000000e+1,-1.256560000e+1,
-1.610000000e+2,3.780156250e+1,-1.229440000e+1,
-1.600390625e+2,3.741406250e+1,-1.247096250e+1,
-1.580000000e+2,3.719687500e+1,-1.238480000e+1,
-1.600078125e+2,3.760156250e+1,-1.229651875e+1,
-1.589921875e+2,3.760156250e+1,-1.256630625e+1,
-1.600312500e+2,3.779843750e+1,-1.237915000e+1,
