CH1,CH2,CH3,CH4,Ts
2.600000000e+2,-9.193750000e-2,-9.921875000e-3,4.992187500e-2,
2.619062500e+2,-8.006250000e-2,7.890625000e-3,4.039062500e-2,
2.660000000e+2,-8.328125000e-2,1.195312500e-2,5.859375000e-2,
2.562812500e+2,-9.609375000e-2,-1.000000000e-2,7.023437500e-2,
2.538593750e+2,-7.625000000e-2,8.984375000e-3,5.000000000e-2,
2.638750000e+2,-8.350000000e-2,-7.031250000e-3,6.007812500e-2,
2.640312500e+2,-1.000312500e-1,-3.960937500e-2,4.000000000e-2,
2.657656250e+2,-9.603125000e-2,-2.242187500e-2,5.937500000e-2,
2.662187500e+2,-9.600000000e-2,-1.562500000e-4,6.015625000e-2,
2.597968750e+2,-9.587500000e-2,-9.531250000e-3,4.023437500e-2,
2.714375000e+2,-9.200000000e-2,-1.992187500e-2,4.000000000e-2,
2.722343750e+2,-9.596875000e-2,-2.000000000e-2,3.968750000e-2,
2.661250000e+2,-8.803125000e-2,-2.007812500e-2,6.000000000e-2,
2.639375000e+2,-9.603125000e-2,-3.031250000e-2,5.000000000e-2,
2.660156250e+2,-8.796875000e-2,-2.976562500e-2,5.992187500e-2,
2.620156250e+2,-9.200000000e-2,-9.531250000e-3,3.992187500e-2,
2.619375000e+2,-8.396875000e-2,1.562500000e-4,5.015625000e-2,
2.680000000e+2,-8.828125000e-2,-2.992187500e-2,4.992187500e-2,
2.619687500e+2,-8.353125000e-2,-2.000000000e-2,6.031250000e-2,
2.620156250e+2,-7.225000000e-2,-3.000000000e-2,3.960937500e-2,
2.580468750e+2,-8.415625000e-2,-1.968750000e-2,7.007812500e-2,
2.599375000e+2,-8.018750000e-2,-9.921875000e-3,4.007812500e-2,
2.617656250e+2,-9.650000000e-2,1.007812500e-2,8.039062500e-2,
2.678906250e+2,-9.087500000e-2,-3.906250000e-4,6.031250000e-2,
2.641406250e+2,-7.628125000e-2,-2.054687500e-2,3.000000000e-2,
2.599687500e+2,-9.631250000e-2,-3.000000000e-2,5.960937500e-2,
2.638750000e+2,-9.159375000e-2,-2.023437500e-2,6.046875000e-2,
2.679687500e+2,-8.828125000e-2,-9.921875000e-3,4.992187500e-2,
2.660781250e+2,-9.190625000e-2,-1.945312500e-2,5.984375000e-2,
2.640000000e+2,-7.996875000e-2,-1.242187500e-2,5.070312500e-2,
2.658281250e+2,-9.593750000e-2,1.875000000e-3,4.898437500e-2,
