CH1,CH2,CH4,Ts,parameter,value
2.740312500e+2,-9.609375000e-2,1.701562500e+1,,,
2.759687500e+2,-8.803125000e-2,1.700000000e+1,,,
2.778593750e+2,-9.590625000e-2,1.900000000e+1,,,
2.839843750e+2,-9.996875000e-2,1.701562500e+1,,,
2.800312500e+2,-1.041562500e-1,1.800000000e+1,,,
2.838750000e+2,-9.218750000e-2,1.898437500e+1,,,
2.819375000e+2,-9.593750000e-2,2.001562500e+1,,,
2.759843750e+2,-9.203125000e-2,1.800000000e+1,,,
2.800312500e+2,-8.803125000e-2,1.899218750e+1,,,
2.840000000e+2,-8.393750000e-2,1.700000000e+1,,,
2.799687500e+2,-1.040000000e-1,1.900000000e+1,,,
2.779687500e+2,-9.200000000e-2,1.900000000e+1,,,
2.740000000e+2,-9.571875000e-2,1.803125000e+1,,,
2.819531250e+2,-9.606250000e-2,1.700000000e+1,,,
2.780000000e+2,-9.209375000e-2,1.800000000e+1,,,
2.820000000e+2,-9.190625000e-2,1.802343750e+1,,,
2.760468750e+2,-1.040000000e-1,1.999218750e+1,,,
2.779062500e+2,-9.612500000e-2,1.699218750e+1,,,
2.820312500e+2,-9.193750000e-2,1.800000000e+1,,,
2.780156250e+2,-9.593750000e-2,1.600000000e+1,,,
2.861093750e+2,-9.603125000e-2,2.002343750e+1,,,
2.859531250e+2,-9.600000000e-2,1.896093750e+1,,,
2.759687500e+2,-1.000000000e-1,1.700000000e+1,,,
2.800156250e+2,-9.200000000e-2,2.000781250e+1,,,
2.800000000e+2,-9.187500000e-2,1.900781250e+1,,,
2.780000000e+2,-1.078125000e-1,2.099218750e+1,,,
2.800156250e+2,-1.001562500e-1,1.800000000e+1,,,
2.820000000e+2,-8.800000000e-2,1.700000000e+1,,,
2.780156250e+2,-8.800000000e-2,1.899218750e+1,,,
2.760000000e+2,-1.000000000e-1,1.799218750e+1,,,
2.840000000e+2,-9.196875000e-2,2.000000000e+1,,,
2.741093750e+2,-9.200000000e-2,1.801562500e+1,,,
2.740000000e+2,-9.606250000e-2,1.900000000e+1,,,
2.760000000e+2,-9.190625000e-2,1.803125000e+1,,,
2.740156250e+2,-1.039687500e-1,2.098437500e+1,,,
2.800156250e+2,-9.600000000e-2,1.496093750e+1,,,
2.800000000e+2,-9.603125000e-2,1.605468750e+1,,,
2.819843750e+2,-9.200000000e-2,1.798437500e+1,,,
2.840000000e+2,-8.834375000e-2,1.899218750e+1,,,
2.739843750e+2,-7.984375000e-2,1.999218750e+1,,,
2.819687500e+2,-9.603125000e-2,1.800000000e+1,,,
2.820156250e+2,-8.003125000e-2,1.800000000e+1,,,
2.839843750e+2,-9.200000000e-2,2.000000000e+1,,,
2.840781250e+2,-8.800000000e-2,1.900000000e+1,,,
2.779843750e+2,-1.040000000e-1,1.800000000e+1,,,
2.839218750e+2,-1.042187500e-1,1.699218750e+1,,,
2.819218750e+2,-9.600000000e-2,2.001562500e+1,,,
2.779843750e+2,-8.400000000e-2,2.100000000e+1,,,
2.800312500e+2,-9.600000000e-2,1.899218750e+1,,,
2.820625000e+2,-8.003125000e-2,2.000000000e+1,,,
2.838906250e+2,-1.040937500e-1,1.900000000e+1,,,
2.739843750e+2,-1.001250000e-1,1.999218750e+1,,,
2.819218750e+2,-8.803125000e-2,1.997656250e+1,,,
2.800312500e+2,-9.200000000e-2,1.699218750e+1,,,
2.819843750e+2,-8.406250000e-2,1.800781250e+1,,,
2.820000000e+2,-8.796875000e-2,1.800000000e+1,,,
2.819843750e+2,-9.200000000e-2,2.000781250e+1,,,
2.839375000e+2,-8.800000000e-2,2.100000000e+1,,,
2.841718750e+2,-9.609375000e-2,1.899218750e+1,,,
2.719218750e+2,-8.800000000e-2,1.900000000e+1,,,
2.780468750e+2,-1.000000000e-1,2.000000000e+1,,,
2.840000000e+2,-8.400000000e-2,1.900781250e+1,,,
2.840000000e+2,-9.606250000e-2,2.100000000e+1,,,
2.840000000e+2,-9.600000000e-2,1.900781250e+1,,,
2.840000000e+2,-9.206250000e-2,1.899218750e+1,,,
2.820000000e+2,-8.400000000e-2,1.800000000e+1,,,
2.820156250e+2,-8.800000000e-2,1.996875000e+1,,,
2.779687500e+2,-8.400000000e-2,2.200000000e+1,,,
2.879687500e+2,-8.800000000e-2,2.000781250e+1,,,
2.840312500e+2,-8.790625000e-2,1.997656250e+1,,,
2.820312500e+2,-8.003125000e-2,2.001562500e+1,,,
2.759687500e+2,-9.596875000e-2,1.602343750e+1,,,
2.859687500e+2,-8.809375000e-2,1.800000000e+1,,,
2.840000000e+2,-9.196875000e-2,1.800000000e+1,,,
2.819375000e+2,-9.200000000e-2,1.899218750e+1,,,
2.780312500e+2,-9.600000000e-2,1.800000000e+1,,,
2.880312500e+2,-9.196875000e-2,2.000781250e+1,,,
2.859843750e+2,-8.806250000e-2,1.899218750e+1,,,
2.900000000e+2,-8.012500000e-2,1.900781250e+1,,,
2.860312500e+2,-8.390625000e-2,1.799218750e+1,,,
2.820156250e+2,-9.596875000e-2,2.001562500e+1,,,
2.820312500e+2,-9.603125000e-2,2.000000000e+1,,,
2.780000000e+2,-1.040000000e-1,1.901562500e+1,,,
2.819218750e+2,-1.000312500e-1,1.700000000e+1,,,
2.839531250e+2,-9.596875000e-2,1.797656250e+1,,,
2.859843750e+2,-1.000000000e-1,1.900000000e+1,,,
2.839843750e+2,-9.600000000e-2,1.900000000e+1,,,
2.839531250e+2,-9.203125000e-2,2.000000000e+1,,,
2.800781250e+2,-9.603125000e-2,1.800000000e+1,,,
2.879218750e+2,-9.603125000e-2,1.802343750e+1,,,
2.759687500e+2,-9.596875000e-2,2.099218750e+1,,,
2.880781250e+2,-8.800000000e-2,2.003125000e+1,,,
2.860156250e+2,-9.200000000e-2,1.899218750e+1,,,
2.880156250e+2,-8.403125000e-2,1.800000000e+1,,,
2.820625000e+2,-8.803125000e-2,1.900000000e+1,,,
2.800312500e+2,-9.203125000e-2,1.899218750e+1,,,
2.779062500e+2,-9.200000000e-2,1.900000000e+1,,,
2.898593750e+2,-9.196875000e-2,2.000781250e+1,,,
2.879218750e+2,-9.603125000e-2,1.698437500e+1,,,
2.839687500e+2,-9.200000000e-2,1.700000000e+1,,,
2.800000000e+2,-1.000000000e-1,2.000000000e+1,,,
2.799843750e+2,-9.600000000e-2,1.900000000e+1,,,
2.800156250e+2,-9.593750000e-2,2.100781250e+1,,,
